"id","usuario_id","quest_id","chat_id","status","progresso_atual","progresso_meta","progresso_percentual","xp_concedido","referencia_data","dados_extras","ativado_em","atualizado_em","concluido_em"
"3c404872-f1c4-4067-a795-c31a679a84a9","784e6664-045e-40fb-88d8-f9130ecc3147","6fc011dd-a656-4ff4-9d4f-a89efb4c759e",NULL,"completa",1,1,100,50,NULL,NULL,"2025-11-02 14:32:39.179409","2025-11-02 14:32:39.236418","2025-11-02 14:32:39.214"
"42314a7d-1741-4ccc-a297-b288c7784bbf","784e6664-045e-40fb-88d8-f9130ecc3147","d3621388-e1b8-40d2-bf0e-9cbe61eb1a95",NULL,"ativa",1,3,33,0,NULL,NULL,"2025-11-02 14:32:39.179409","2025-11-02 14:32:39.236418",NULL
"7d0a2a1f-ff6e-4f1d-9755-59c7d2ca444a","784e6664-045e-40fb-88d8-f9130ecc3147","6341d6f4-3585-4da2-99dd-8cce54a3505e",NULL,"ativa",1,7,14,0,NULL,NULL,"2025-11-02 14:32:39.179409","2025-11-02 14:32:39.236418",NULL
"12d4e110-0137-42d7-810e-beb316d7d23d","784e6664-045e-40fb-88d8-f9130ecc3147","e57cc1af-3d42-4689-a920-7d293ee3a704",NULL,"ativa",1,30,3,0,NULL,NULL,"2025-11-02 14:32:39.179409","2025-11-02 14:32:39.236418",NULL
"33d308ee-9ddc-468f-8ba9-79c23e308ca8","784e6664-045e-40fb-88d8-f9130ecc3147","1ce26d10-24d3-4d3d-bf39-a8e3a1839e7d",NULL,"completa",1,1,100,50,NULL,NULL,"2025-11-02 14:32:39.179409","2025-11-02 14:32:39.236418","2025-11-02 14:32:39.214"
"edea48a3-5251-43c3-a78f-08c5a529d895","784e6664-045e-40fb-88d8-f9130ecc3147","b4ed19fc-0522-4474-b405-d618beb9e30e",NULL,"ativa",1,10,10,0,NULL,NULL,"2025-11-02 14:32:39.179409","2025-11-02 14:32:39.236418",NULL
"645d9bd4-0677-46df-8b6e-d0a02965768a","784e6664-045e-40fb-88d8-f9130ecc3147","542ab728-2d79-4a9c-99a9-cbf74ea7577a",NULL,"completa",1,1,100,30,"2025-11-02",NULL,"2025-11-02 14:32:39.179409","2025-11-02 14:32:39.236418","2025-11-02 14:32:39.214"
"b0a89202-7365-446d-b56b-fac53d31ac6a","784e6664-045e-40fb-88d8-f9130ecc3147","d75ee4aa-c8ba-4f31-9cbc-9505ac011ff7",NULL,"completa",1,1,100,30,"2025-11-02",NULL,"2025-11-02 14:32:39.179409","2025-11-02 14:32:39.236418","2025-11-02 14:32:39.214"
"13d626c7-2283-4bb6-bffa-a8e9584dac1c","784e6664-045e-40fb-88d8-f9130ecc3147","bd87d5d7-dad3-4e17-8284-7eed8b03885a",NULL,"completa",1,1,100,30,"2025-11-02",NULL,"2025-11-02 14:32:39.179409","2025-11-02 14:32:39.236418","2025-11-02 14:32:39.214"
"26039899-30e9-4acc-b03b-2cb3d2679f1c","784e6664-045e-40fb-88d8-f9130ecc3147","5fea7fa4-b4b5-4a99-895a-f9d073e89baf",NULL,"completa",1,1,100,30,"2025-11-02",NULL,"2025-11-02 14:32:39.179409","2025-11-02 14:32:39.236418","2025-11-02 14:32:39.214"
